Part No.,Description,Order,Cost ,Price ,Model,Inventory Turnover,Sales 2024,Sales 2023,Inventory,Category,Annual Target
20532237,Filter,183,182.66,9000,FH12,Fast-moving,145,134,285,Lubricant,365
20855371,Trailer brake,60,37.19,1700,FH13,Fast-moving,44,0,196,Engine,231
21041296,Small air intake filter,46,385.4,10500,FM9,Medium-moving,34,90,205,Lubricant,184
22239219,Lamp,48,1586.51,1951,FH4,Fast-moving,25,32,88,Body,96
22239217,Lamp,47,1586.51,1951,FH4,Fast-moving,23,33,90,Body,94
82485683,WIPER BLADE       ,27,89.23,110,FH4,Fast-moving,25,3,27,Body,53
20530103,Oil pump,120,140.43,8000,FH13,Dead stock,12,12,144,Engine,36
1547254,Exhaust valve,0,18.3,23,FH12,Slow-moving,1,0,29,Engine,31
3192951,O-ring bushing,0,577.95,32000,FH12,Slow-moving,0,4,33,Gearbox,30
20567633,Mirror arm,5,420.29,10000,FH12,Medium-moving,64,37,0,Body,20
82151157,side indicator lamp; left,9,318.88,392,FH4,Fast-moving,27,11,6,Body,17
22154235,Power window switch,8,476.29,586,FH4,Fast-moving,15,0,5,Body,16
82151205,side indicator lamp; right,8,318.88,392,FH4,Fast-moving,27,11,5,Body,16
82884080,air duct,8,73.13,90,FH4,Fast-moving,21,2,1,Body,15
82884084,air duct,8,73.13,90,FH4,Fast-moving,21,2,1,Body,15
82142373,foot board; right,6,391.1,481,FH4,Fast-moving,15,6,7,Body,11
21578293,Glass,6,196.48,242,FH4,Fast-moving,6,0,9,Body,11
84035943,WIPER BLADE,15,82.92,100,FH12,Medium-moving,0,12,40,Body,11
82141971,foot board;left,4,391.1,481,FH4,Fast-moving,14,6,6,Body,8
21874450,panel,4,437.48,538,FH4,Fast-moving,7,1,7,Body,8
22332594,Position lamp R,4,598.21,736,FH4,Fast-moving,20,10,4,Body,8
84004927,Auxiliary mirror,3,370.22,455,FH4,Fast-moving,11,5,6,Body,6
21874457,Lamp,3,437.48,538,FH4,Fast-moving,11,1,2,Body,6
22332595,Position lamp L,3,598.21,736,FH4,Fast-moving,21,12,3,Body,5
21634017,pressure sensor; Crankcase pressure,3,337.22,415,FH4,Fast-moving,2,0,8,Body,5
21426987,speed monitor,1,230.06,283,FH4,Medium-moving,6,0,4,Body,4
22154240,Power window switch,2,476.29,586,FH4,Fast-moving,7,2,5,Body,4
82943356,Rear view mirror L,2,1535.28,1888,FH4,Fast-moving,21,11,1,Body,4
20467053,Front grille trim,1,1360.2,50000,FH12,Medium-moving,9,0,0,Body,2
82151656,foot plate; right,1,344.48,424,FH4,Fast-moving,10,2,1,Body,2
82859306,foot plate; right,1,344.48,424,FH4,Fast-moving,11,2,0,Body,2
22387296,vehicle speed sensor,1,599.07,22000,FH12,Medium-moving,5,0,3,Body,2
82142329,foot plate; left,1,344.48,424,FH4,Fast-moving,7,3,4,Body,1
3986433,Front stabilizer arm,1,464.35,15000,FH12,Medium-moving,8,0,0,Body,1
